周,生产计划/件,实际需求量/件,库存量/件,缺货量/件,服务水平
101,9.68030303030303,23.0,0,13.31969696969697,0.4208827404479578
102,38.87619696969698,16.0,9.556500000000007,0,1
103,11.975183168316825,12.0,9.531683168316832,0,1
104,8.351650165016505,2.0,15.883333333333336,0,1
105,0,8.0,7.883333333333336,0,1
106,0,1.0,6.883333333333336,0,1
107,0,11.0,0,4.116666666666664,0.6257575757575761
108,14.578459119496852,51.0,0,40.53820754716981,0.20513318534961153
109,119.09942250044082,5.0,73.56121495327102,0,1
110,0,21.0,52.56121495327102,0,1
111,0,0.0,52.56121495327102,0,1
112,0,0.0,52.56121495327102,0,1
113,0,14.0,38.56121495327102,0,1
114,0,6.0,32.56121495327102,0,1
115,0,21.0,11.56121495327102,0,1
116,12.500627151992134,8.0,16.061842105263153,0,1
117,0,5.0,11.061842105263153,0,1
118,0,9.0,2.0618421052631533,0,1
119,10.021063877642828,13.0,0,0.9170940170940192,0.9294543063773831
120,13.565399101839782,18.0,0,5.351694915254237,0.702683615819209
121,27.95883777239709,9.0,13.607142857142854,0,1
122,0,12.0,1.607142857142854,0,1
123,12.882113341204253,1.0,13.489256198347107,0,1
124,0,12.0,1.4892561983471069,0,1
125,8.899768191896797,7.0,3.389024390243904,0,1
126,9.238798190401255,1.0,11.627822580645159,0,1
127,0,19.0,0,7.372177419354841,0.6119906621392189
128,27.074161546338964,1.0,18.701984126984122,0,1
129,0,3.0,15.701984126984122,0,1
130,0,3.0,12.701984126984122,0,1
131,0,4.0,8.701984126984122,0,1
132,0,1.0,7.701984126984122,0,1
133,0,1.0,6.701984126984122,0,1
134,0,0.0,6.701984126984122,0,1
135,0,8.0,0,1.2980158730158777,0.8377480158730153
136,12.46555318644872,1.0,10.167537313432842,0,1
137,0,18.0,0,7.832462686567158,0.5648631840796023
138,29.269962686567155,1.0,20.437499999999996,0,1
139,0,13.0,7.4374999999999964,0,1
140,6.7903985507246425,2.0,12.227898550724639,0,1
141,0,4.0,8.227898550724639,0,1
142,0,8.0,0.22789855072463894,0,1
143,10.678484427998768,15.0,0,4.093617021276593,0.7270921985815605
144,21.164743781839974,1.0,16.07112676056338,0,1
145,0,0.0,16.07112676056338,0,1
146,0,13.0,3.0711267605633807,0,1
147,7.427149101505584,7.0,3.498275862068965,0,1
148,10.106861124232402,1.0,12.605136986301368,0,1
149,0,18.0,0,5.394863013698632,0.7002853881278538
150,26.23641706775269,3.0,17.841554054054058,0,1
151,0,7.0,10.841554054054058,0,1
152,0,11.0,0,0.1584459459459424,0.9855958230958234
153,12.216724091641307,0.0,12.058278145695365,0,1
154,0,5.0,7.058278145695365,0,1
155,0,13.0,0,5.941721854304635,0.5429444727457973
156,17.697890685473467,30.0,0,18.24383116883117,0.39187229437229437
157,63.44512149141179,11.0,34.20129032258062,0,1
158,0,5.0,29.20129032258062,0,1
159,0,0.0,29.20129032258062,0,1
160,0,2.0,27.20129032258062,0,1
161,0,4.0,23.20129032258062,0,1
162,0,0.0,23.20129032258062,0,1
163,0,6.0,17.20129032258062,0,1
164,0,0.0,17.20129032258062,0,1
165,0,10.0,7.201290322580618,0,1
166,2.332856018882799,43.0,0,33.46585365853658,0.22172433352240506
167,101.99100517368811,10.0,58.525151515151535,0,1
168,0,40.0,18.525151515151535,0,1
169,48.30029758664489,11.0,55.82544910179642,0,1
170,0,3.0,52.82544910179642,0,1
171,0,0.0,52.82544910179642,0,1
172,0,28.0,24.825449101796423,0,1
173,0,0.0,24.825449101796423,0,1
174,0,12.0,12.825449101796423,0,1
175,0,7.0,5.825449101796423,0,1
176,0,50.0,0,44.17455089820358,0.11650898203592845
177,120.47455089820357,13.0,63.3,0,1
