周,生产计划/件,实际需求量/件,库存量/件,缺货量/件,服务水平
101,9.68030303030303,23.0,0,13.31969696969697,0.4208827404479578
102,49.87619696969698,16.0,20.556500000000007,0,1
103,2.975183168316825,12.0,11.531683168316832,0,1
104,6.351650165016505,2.0,15.883333333333336,0,1
105,0,8.0,7.883333333333336,0,1
106,0,1.0,6.883333333333336,0,1
107,0,11.0,0,4.116666666666664,0.6257575757575761
108,14.578459119496852,51.0,0,40.53820754716981,0.20513318534961153
109,156.09942250044082,5.0,110.56121495327102,0,1
110,0,21.0,89.56121495327102,0,1
111,0,0.0,89.56121495327102,0,1
112,0,0.0,89.56121495327102,0,1
113,0,14.0,75.56121495327102,0,1
114,0,6.0,69.56121495327102,0,1
115,0,21.0,48.56121495327102,0,1
116,0,8.0,40.56121495327102,0,1
117,0,5.0,35.56121495327102,0,1
118,0,9.0,26.56121495327102,0,1
119,0,13.0,13.56121495327102,0,1
120,0,18.0,0,4.438785046728981,0.7534008307372788
121,27.045927903871835,9.0,13.607142857142854,0,1
122,0,12.0,1.607142857142854,0,1
123,12.882113341204253,1.0,13.489256198347107,0,1
124,0,12.0,1.4892561983471069,0,1
125,6.899768191896797,7.0,1.389024390243904,0,1
126,11.238798190401255,1.0,11.627822580645159,0,1
127,0,19.0,0,7.372177419354841,0.6119906621392189
128,35.07416154633896,1.0,26.701984126984122,0,1
129,0,3.0,23.701984126984122,0,1
130,0,3.0,20.701984126984122,0,1
131,0,4.0,16.701984126984122,0,1
132,0,1.0,15.701984126984122,0,1
133,0,1.0,14.701984126984122,0,1
134,0,0.0,14.701984126984122,0,1
135,0,8.0,6.701984126984122,0,1
136,0,1.0,5.701984126984122,0,1
137,0,18.0,0,12.298015873015878,0.31677689594356234
138,47.73551587301588,1.0,34.4375,0,1
139,0,13.0,21.4375,0,1
140,0,2.0,19.4375,0,1
141,0,4.0,15.4375,0,1
142,0,8.0,7.4375,0,1
143,0,15.0,0,7.5625,0.49583333333333335
144,24.63362676056338,1.0,16.07112676056338,0,1
145,0,0.0,16.07112676056338,0,1
146,0,13.0,3.0711267605633807,0,1
147,10.427149101505584,7.0,6.498275862068965,0,1
148,7.1068611242324025,1.0,12.605136986301368,0,1
149,0,18.0,0,5.394863013698632,0.7002853881278538
150,34.23641706775269,3.0,25.841554054054058,0,1
151,0,7.0,18.841554054054058,0,1
152,0,11.0,7.841554054054058,0,1
153,4.216724091641307,0.0,12.058278145695365,0,1
154,0,5.0,7.058278145695365,0,1
155,0,13.0,0,5.941721854304635,0.5429444727457973
156,22.697890685473464,30.0,0,13.243831168831171,0.558538961038961
157,79.44512149141178,11.0,55.20129032258062,0,1
158,0,5.0,50.20129032258062,0,1
159,0,0.0,50.20129032258062,0,1
160,0,2.0,48.20129032258062,0,1
161,0,4.0,44.20129032258062,0,1
162,0,0.0,44.20129032258062,0,1
163,0,6.0,38.20129032258062,0,1
164,0,0.0,38.20129032258062,0,1
165,0,10.0,28.20129032258062,0,1
166,0,43.0,0,14.798709677419382,0.6558439609902469
167,118.32386119257092,10.0,93.52515151515153,0,1
168,0,40.0,53.525151515151535,0,1
169,0,11.0,42.525151515151535,0,1
170,0,3.0,39.525151515151535,0,1
171,0,0.0,39.525151515151535,0,1
172,0,28.0,11.525151515151535,0,1
173,24.06987772461453,0.0,35.59502923976606,0,1
174,0,12.0,23.595029239766063,0,1
175,0,7.0,16.595029239766063,0,1
176,0,50.0,0,33.40497076023394,0.33190058479532125
177,140.70497076023395,13.0,94.3,0,1
