周,生产计划/件,实际需求量/件,库存量/件,缺货量/件,服务水平
101,118.23232323232324,64.0,54.23232323232324,0,1
102,52.12767676767676,75.0,31.36,0,1
103,81.15881188118814,87.0,25.518811881188142,0,1
104,102.52040380508639,154.0,0,25.96078431372547,0.8314234784823021
105,591.4792309156671,7.0,558.5184466019417,0,1
106,0,55.0,503.5184466019417,0,1
107,0,74.0,429.5184466019417,0,1
108,0,76.0,353.5184466019417,0,1
109,0,0.0,353.5184466019417,0,1
110,0,0.0,353.5184466019417,0,1
111,0,0.0,353.5184466019417,0,1
112,0,16.0,337.5184466019417,0,1
113,0,41.0,296.5184466019417,0,1
114,0,83.0,213.51844660194172,0,1
115,0,50.0,163.51844660194172,0,1
116,0,40.0,123.51844660194172,0,1
117,0,23.0,100.51844660194172,0,1
118,0,2.0,98.51844660194172,0,1
119,0,26.0,72.51844660194172,0,1
120,0,44.0,28.51844660194172,0,1
121,30.105082809823003,61.0,0,2.3764705882352786,0.9610414657666347
122,115.68647058823528,2.0,111.31,0,1
123,0,52.0,59.31,0,1
124,0,41.0,18.310000000000002,0,1
125,41.72577235772358,34.0,26.03577235772358,0,1
126,23.102937319695783,35.0,14.138709677419364,0,1
127,32.326890322580645,0.0,46.46560000000001,0,1
128,0,46.0,0.4656000000000091,0,1
129,48.3611716535433,46.0,2.826771653543311,0,1
130,71.89197834645668,38.0,36.71875,0,1
131,19.693653100775194,54.0,2.412403100775194,0,1
132,71.31990459153252,80.0,0,6.267692307692286,0.9216538461538464
133,159.27227246036404,16.0,137.00458015267174,0,1
134,0,12.0,125.00458015267174,0,1
135,0,28.0,97.00458015267174,0,1
136,0,30.0,67.00458015267174,0,1
137,0,50.0,17.004580152671736,0,1
138,51.69541984732827,19.0,49.7,0,1
139,0,83.0,0,33.3,0.5987951807228916
140,334.07681159420287,43.0,257.77681159420285,0,1
141,0,54.0,203.77681159420285,0,1
142,0,91.0,112.77681159420285,0,1
143,51.80474868948511,8.0,156.58156028368796,0,1
144,0,1.0,155.58156028368796,0,1
145,0,14.0,141.58156028368796,0,1
146,0,87.0,54.58156028368796,0,1
147,669.2460259232085,0.0,723.8275862068965,0,1
148,0,58.0,665.8275862068965,0,1
149,0,23.0,642.8275862068965,0,1
150,0,37.0,605.8275862068965,0,1
151,0,30.0,575.8275862068965,0,1
152,0,11.0,564.8275862068965,0,1
153,0,91.0,473.8275862068965,0,1
154,0,15.0,458.8275862068965,0,1
155,0,23.0,435.8275862068965,0,1
156,0,3.0,432.8275862068965,0,1
157,0,19.0,413.8275862068965,0,1
158,0,60.0,353.8275862068965,0,1
159,0,4.0,349.8275862068965,0,1
160,0,11.0,338.8275862068965,0,1
161,0,1.0,337.8275862068965,0,1
162,0,0.0,337.8275862068965,0,1
163,0,0.0,337.8275862068965,0,1
164,0,43.0,294.8275862068965,0,1
165,0,0.0,294.8275862068965,0,1
166,0,2.0,292.8275862068965,0,1
167,0,82.0,210.8275862068965,0,1
168,193.50735355213965,16.0,388.33493975903616,0,1
169,0,14.0,374.33493975903616,0,1
170,0,18.0,356.33493975903616,0,1
171,0,8.0,348.33493975903616,0,1
172,0,74.0,274.33493975903616,0,1
173,0,23.0,251.33493975903616,0,1
174,0,10.0,241.33493975903616,0,1
175,0,20.0,221.33493975903616,0,1
176,0,9.0,212.33493975903616,0,1
177,0,12.0,200.33493975903616,0,1
